,strategy,spy
2021-10-26,1.19382271641897,1.1959292340557144
2021-10-27,1.1538199094057835,1.1906310413212768
2021-10-28,1.1713993358518238,1.2021192770937752
2021-10-29,1.1718497418252953,1.2045585381019068
2021-11-01,1.18215439750068,1.2066306372591395
2021-11-02,1.1891961951830754,1.2115091592754033
2021-11-03,1.2039137808726692,1.218905705600711
2021-11-04,1.2098238733406852,1.2246498234869603
2021-11-05,1.2141574498609622,1.2288988794479654
2021-11-08,1.2288293308479634,1.2299480162213978
2021-11-09,1.2306387360277775,1.2258825812078449
2021-11-10,1.1964956752287972,1.2160205194407678
2021-11-11,1.225501952268683,1.2164139357253045
2021-11-12,1.2149067526494974,1.2255940225698478
2021-11-15,1.1966763781536855,1.2260136932880221
2021-11-16,1.2094906203785707,1.2308660409146532
2021-11-17,1.1965941043326311,1.22787599710817
2021-11-18,1.1940077064844907,1.232046369812268
2021-11-19,1.1835310184529515,1.229843158574858
2021-11-22,1.185634834789985,1.226380935182926
2021-11-23,1.1843431237879591,1.2280071091883473
2021-11-24,1.1855911759532474,1.231285711632827
2021-11-26,1.1385350887010022,1.2038241343561036
2021-11-29,1.1588281922043107,1.2185909725730817
2021-11-30,1.1256398120431388,1.194880097282282
2021-12-01,1.0823576107401653,1.1816083209905477
2021-12-02,1.1078079456576382,1.1997061904752757
2021-12-03,1.0495508218639522,1.1892671715202148
2021-12-06,1.0639422857718717,1.2033520348146598
2021-12-07,1.0900964374836193,1.2282431589590692
2021-12-08,1.094746325611029,1.2314955069699116
2021-12-09,1.0710184392346165,1.2231810159953536
2021-12-10,1.0786281029824696,1.2346954261574843
2021-12-13,1.061599336331371,1.2237580532273422
2021-12-14,1.0500764585748874,1.2153385445182343
2021-12-15,1.0694473785852587,1.2343282643065852
2021-12-16,1.0524267016756303,1.2234433201997128
2021-12-17,1.0552290556973085,1.2061847121073277
2021-12-20,1.0463586184030416,1.193358860967405
2021-12-21,1.0725091937544278,1.2145517119491611
2021-12-22,1.0775945022050806,1.2266956682105552
2021-12-23,1.0811375828738172,1.234328264306585
2021-12-27,1.0928906012230954,1.2517966677360541
2021-12-28,1.0911323539647184,1.250773705352254
2021-12-29,1.0878679837126308,1.2523737049680426
2021-12-30,1.090251672244261,1.2489114815761109
2021-12-31,1.0919281431552903,1.2457639912118081
2022-01-03,1.087497953604686,1.2529769165896638
2022-01-04,1.0910340414795967,1.2525572458714898
2022-01-05,1.0606591385595974,1.2285054631634282
2022-01-06,1.0627665885594137,1.227351388699451
